model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
340,Base specification,Quad,1 month,Default,train-cv,Repeat20,Fold1
341,Base specification,Quad,1 month,Default,train-cv,Repeat20,Fold2
342,Base specification,Quad,1 month,Default,train-cv,Repeat21,Fold1
343,Base specification,Quad,1 month,Default,train-cv,Repeat21,Fold2
344,Base specification,Quad,1 month,Default,test,NA,NA
345,Base specification,Quad,1 month,Tuned,train-cv,Repeat01,Fold1
346,Base specification,Quad,1 month,Tuned,train-cv,Repeat01,Fold2
347,Base specification,Quad,1 month,Tuned,train-cv,Repeat02,Fold1
348,Base specification,Quad,1 month,Tuned,train-cv,Repeat02,Fold2
349,Base specification,Quad,1 month,Tuned,train-cv,Repeat03,Fold1
350,Base specification,Quad,1 month,Tuned,train-cv,Repeat03,Fold2
351,Base specification,Quad,1 month,Tuned,train-cv,Repeat04,Fold1
352,Base specification,Quad,1 month,Tuned,train-cv,Repeat04,Fold2
353,Base specification,Quad,1 month,Tuned,train-cv,Repeat05,Fold1
354,Base specification,Quad,1 month,Tuned,train-cv,Repeat05,Fold2
355,Base specification,Quad,1 month,Tuned,train-cv,Repeat06,Fold1
356,Base specification,Quad,1 month,Tuned,train-cv,Repeat06,Fold2
357,Base specification,Quad,1 month,Tuned,train-cv,Repeat07,Fold1
358,Base specification,Quad,1 month,Tuned,train-cv,Repeat07,Fold2
359,Base specification,Quad,1 month,Tuned,train-cv,Repeat08,Fold1
360,Base specification,Quad,1 month,Tuned,train-cv,Repeat08,Fold2
361,Base specification,Quad,1 month,Tuned,train-cv,Repeat09,Fold1
362,Base specification,Quad,1 month,Tuned,train-cv,Repeat09,Fold2
363,Base specification,Quad,1 month,Tuned,train-cv,Repeat10,Fold1
364,Base specification,Quad,1 month,Tuned,train-cv,Repeat10,Fold2
365,Base specification,Quad,1 month,Tuned,train-cv,Repeat11,Fold1
366,Base specification,Quad,1 month,Tuned,train-cv,Repeat11,Fold2
367,Base specification,Quad,1 month,Tuned,train-cv,Repeat12,Fold1
368,Base specification,Quad,1 month,Tuned,train-cv,Repeat12,Fold2
369,Base specification,Quad,1 month,Tuned,train-cv,Repeat13,Fold1
370,Base specification,Quad,1 month,Tuned,train-cv,Repeat13,Fold2
371,Base specification,Quad,1 month,Tuned,train-cv,Repeat14,Fold1
372,Base specification,Quad,1 month,Tuned,train-cv,Repeat14,Fold2
373,Base specification,Quad,1 month,Tuned,train-cv,Repeat15,Fold1
374,Base specification,Quad,1 month,Tuned,train-cv,Repeat15,Fold2
375,Base specification,Quad,1 month,Tuned,train-cv,Repeat16,Fold1
376,Base specification,Quad,1 month,Tuned,train-cv,Repeat16,Fold2
377,Base specification,Quad,1 month,Tuned,train-cv,Repeat17,Fold1
378,Base specification,Quad,1 month,Tuned,train-cv,Repeat17,Fold2
379,Base specification,Quad,1 month,Tuned,train-cv,Repeat18,Fold1
380,Base specification,Quad,1 month,Tuned,train-cv,Repeat18,Fold2
381,Base specification,Quad,1 month,Tuned,train-cv,Repeat19,Fold1
382,Base specification,Quad,1 month,Tuned,train-cv,Repeat19,Fold2
383,Base specification,Quad,1 month,Tuned,train-cv,Repeat20,Fold1
384,Base specification,Quad,1 month,Tuned,train-cv,Repeat20,Fold2
385,Base specification,Quad,1 month,Tuned,train-cv,Repeat21,Fold1
